,Acquisition Date,Position,Ticker,Quantity,Unit Cost,Cost Basis,Start of Year,Target_Alloc,Comments,Counts,Ticker #,Latest Date,Ticker Adj Close,Ticker Return,SP 500 Initial Close,Equiv SP Shares,SP 500 Latest Close,SP Return,Abs. Return Compare,Ticker Share Value,SP 500 Value,Abs Value Compare,Stock Gain / (Loss),SP 500 Gain / (Loss),Ticker Start Year Close,SP Start Year Close,Share YTD,SP 500 YTD,Cum Invst,Cum Ticker Returns,Cum SP Returns,Cum Ticker ROI Mult,Cum Ticker ROI Pct,Cum SP ROI Pct,Closing High Adj Close,Closing High Adj Close Date,Pct off High,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,Dividend Amt,SP500 Div Amt,Ex-Div. Date,Latest Div Amt,SP500 Tot Div,Total Stock Gain / (Loss),Total SP500 Gain / (Loss),Total Stock Return,Total SP500 Return,Share Yield,Cum Total SP Returns,Cum Stock Returns,Market Yield,Current Yield,Cum SP Returns Pct,Cum Ticker Returns Pct
0,2014-04-21,iShares Core US Aggregate Bond ETF (AGG),AGG,25,95.72,2393.0,2018-12-31,0.127,0.0,0,AGG 0,2019-04-18,101.5234146118164,0.06062907032821152,1871.8900146484375,1.278387074707182,2905.030029296875,0.5519234605471588,-0.4912943902189473,2538.08536529541,3713.752841089351,-1175.6674757939409,145.08536529541016,1320.752841089351,99.1915512084961,2506.85009765625,0.02350868975139675,0.15883675374642414,2393.0,2538.08536529541,3713.752841089351,1.0606290703282115,0.06062907032821152,0.5519234605471588,102.11271667480469,2019-03-28,-0.005771093769496027,48.4,62.15,48.175,57.625,65.975,19.925,302.25,221.99900000000002,2019-04-01 00:00:00,1.048,283.8006521979197,447.33536529541016,1604.5534932872706,0.1869349625137527,0.6705196378133182,0.12630589218554117,3997.5534932872706,2840.33536529541,0.0103227418424323,0.010948600083577101,0.6705196378133182,0.18693496251375263
1,2014-04-21,Invesco DB Commodity Tracking (DBC),DBC,22,26.21,576.62,2018-12-31,0.033,0.0,1,DBC 1,2019-04-18,15.954421997070312,-0.39128492952803084,1871.8900146484375,0.30804160259826796,2905.030029296875,0.5519234605471588,-0.9432083900751896,350.9972839355469,894.8701058207027,-543.8728218851559,-225.62271606445313,318.25010582070274,14.261541366577148,2506.85009765625,0.11870250115184189,0.15883675374642414,2969.62,2889.082649230957,4608.6229469100535,0.9728795769259896,-0.027120423074010414,0.5519234605471588,26.15583038330078,2014-06-20,-0.3900242598584662,0.0,0.0,0.0,0.0,4.158,0.0,4.158,221.99900000000002,2018-12-24 00:00:00,0.756,68.3849277352129,-221.46471606445314,386.63503355591564,-0.3840739413555776,0.6705196378133184,0.007210988172453262,4960.808526843186,3195.490649230957,0.047384982053177684,0.028843952689813046,0.6705196378133182,0.0760604552875308
2,2014-04-21,iShares Gold Trust (IAU),IAU,50,12.51,625.5,2018-12-31,0.033,0.0,2,IAU 2,2019-04-18,24.440000534057617,0.9536371330181947,1871.8900146484375,0.33415424790194,2905.030029296875,0.5519234605471588,0.40171367247103595,1222.0000267028809,970.7281245722479,251.27190213063295,596.5000267028809,345.2281245722479,24.579999923706055,2506.85009765625,-0.00569566273730604,0.15883675374642414,3595.12,4111.082675933838,5579.351071482301,1.1435175114972067,0.1435175114972067,0.5519234605471588,26.360000610351562,2016-07-08,-0.0728376339847262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,596.5000267028809,345.2281245722479,0.9536371330181949,0.5519234605471589,0.0,5931.536651415434,4417.490675933837,0.0,0.0,0.6498855814035231,0.22874637729306313
3,2014-04-21,iShares International Treasury Bond ETF (IGOV),IGOV,8,50.72,405.76,2018-12-31,0.023,0.0,3,IGOV 3,2019-04-18,48.432762145996094,-0.04509538355685938,1871.8900146484375,0.2167648723080594,2905.030029296875,0.5519234605471588,-0.5970188441040182,387.46209716796875,629.7084633516151,-242.2463661836464,-18.29790283203124,223.94846335161515,48.16446304321289,2506.85009765625,0.005570478436404125,0.15883675374642414,4000.88,4498.544773101807,6209.059534833917,1.1243888277333502,0.12438882773335025,0.5519234605471588,51.57899475097656,2018-03-26,-0.06099833120382592,7.103696,0.8391919999999999,4.992319999999999,1.326384,1.20788,0.0,15.469472,221.99900000000002,2018-12-18 00:00:00,0.60394,48.12158488751689,-2.8284308320312412,272.070048239132,-0.006970699014272578,0.6705196378133182,0.03812468454258675,6609.366699654566,4820.422245101806,0.0124696584138538,0.011907334384858045,0.6519782397009073,0.2048404963662509
4,2014-04-21,Vanguard FTSE All-Wld ex-US ETF (VEU),VEU,105,43.92,4611.6,2018-12-31,0.25,0.0,4,VEU 4,2019-04-18,47.527244567871094,0.08213216229214693,1871.8900146484375,2.4636062823734397,2905.030029296875,0.5519234605471588,-0.46979129825501187,4990.360679626465,7156.850230659279,-2166.4895510328142,378.7606796264645,2545.2502306592787,41.74260330200195,2506.85009765625,0.13857883333289167,0.15883675374642414,8612.48,9488.905452728271,13365.909765493196,1.101762262754546,0.10176226275454603,0.551923460547159,52.34730529785156,2018-01-26,-0.09207848813906938,131.985,134.61,137.34,152.775,156.345,18.794999999999998,731.85,221.99900000000002,2019-03-25 00:00:00,0.716,546.9181310806213,1110.6106796264644,3092.1683617399,0.2408297943504346,0.6705196378133185,0.1586976320582878,14313.135061394467,10542.63292472827,0.015065043355869685,0.016302367941712203,0.6619063337615261,0.22411116481295412
5,2014-04-21,Vanguard Real Estate ETF (VNQ),VNQ,11,58.28,641.08,2018-12-31,0.034,0.0,5,VNQ 5,2019-04-18,77.08856964111328,0.32272768773358407,1871.8900146484375,0.34247738648277487,2905.030029296875,0.5519234605471588,-0.22919577281357473,847.9742660522461,994.9070920875727,-146.93282603532657,206.89426605224605,353.8270920875726,66.76437377929688,2506.85009765625,0.15463630192870714,0.15883675374642414,9253.56,10336.879718780518,14360.816857580769,1.1170705889171864,0.11707058891718636,0.551923460547159,79.39697265625,2019-04-12,-0.029074194366716877,27.125999999999998,34.364000000000004,43.736,38.653999999999996,38.841,6.776,189.497,221.99900000000002,2019-03-28 00:00:00,2.464,76.02963732178955,396.39126605224607,429.8567294093622,0.6183179416800494,0.6705196378133184,0.2955902539464653,15384.07179080383,11580.104190780516,0.0319632341275909,0.042278654770075495,0.6625030572886359,0.25142152758295366
6,2014-04-21,Vanguard Total Stock Market ETF (VTI),VTI,72,88.2,6350.400000000001,2018-12-31,0.5,0.0,6,VTI 6,2019-04-18,141.38284301757812,0.6029800795643778,1871.8900146484375,3.392507011792933,2905.030029296875,0.5519234605471588,0.05105661901721903,10179.564697265625,9855.334743858679,324.22995340694615,3829.1646972656245,3504.9347438586783,121.04711151123047,2506.85009765625,0.16799848631217396,0.15883675374642414,15603.96,20516.444416046143,24216.151601439447,1.3148229305923718,0.31482293059237176,0.551923460547159,141.99014282226562,2018-09-20,-0.004277056087250264,104.11200000000001,148.824,159.48000000000002,168.696,187.488,55.584,824.1840000000002,221.99900000000002,2019-03-25 00:00:00,3.088,753.1331641110194,4653.348697265625,4258.067907969697,0.7327646600632439,0.6705196378133184,0.12978458049886624,25992.53969877353,22583.85288804614,0.021841405464000107,0.03501133786848073,0.6657655940398162,0.4473154819703551
7,2014-05-05,Vanguard Total Stock Market ETF (VTI),VTI,32,88.67,2837.44,2018-12-31,0.5,0.0,7,VTI 7,2019-04-18,141.38284301757812,0.5944833993185759,1884.6600341796875,1.505544739391164,2905.030029296875,0.5414079869111839,0.053075412407392,4524.2509765625,4373.65267838127,150.59829818123035,1686.8109765625,1536.2126783812696,121.04711151123047,2506.85009765625,0.16799848631217396,0.15883675374642414,18441.399999999998,25040.695392608643,28589.804279820717,1.357852190864503,0.35785219086450293,0.5503055234320995,141.99014282226562,2018-09-20,-0.004277056087250264,46.272000000000006,66.144,70.88,74.976,83.328,24.704,366.30400000000003,221.99900000000002,2019-03-25 00:00:00,3.088,334.2294266000991,2053.1149765625,1870.4421049813686,0.7235800498204368,0.6592005839705398,0.12909665050186084,30700.4218037549,27474.407864608642,0.021841405464000107,0.034825758430134204,0.664755485145103,0.4898222404269006
